date,text
2024-11-19 15:38:46+00:00,"**TODAY FII&DII DATA:- 19-11-2024

FII SELL NET 👉 3411.73 Cr.🔻

DII BUY NET 👉 2783.89 Cr. ☘

NET SELLING :-  627.84 Cr. 🔴**"
2024-11-19 09:14:30+00:00,**300₹ To 440₹ 🏆📈❤️**
2024-11-19 09:14:25+00:00,**300₹ To 430₹ 🏆📈❤️**
2024-11-19 09:14:20+00:00,**300₹ To 420₹ 🏆📈❤️**
2024-11-19 09:14:14+00:00,**300₹ To 410₹ 🏆📈❤️**
2024-11-19 04:58:57+00:00,**300₹ To 400₹ 🏆📈❤️**
2024-11-19 04:58:51+00:00,**300₹ To 390₹ 🏆📈❤️**
2024-11-19 04:58:46+00:00,**300₹ To 380₹ 🏆📈❤️**
2024-11-19 04:58:40+00:00,**300₹ To 370₹ 🏆📈❤️**
2024-11-19 04:58:34+00:00,**300₹ To 360₹ 🏆📈❤️**
2024-11-19 04:20:08+00:00,"**क्यू दोस्तो उड़ा दिया न सबके होश😀😀😀

आखिर कब तक ऐसे ही हमारे कॉल्स स्क्रीनशॉट देख देख कर अपने दिल को तसल्ली देते रहोगे 😅😅😅

अभी भी समय है दोस्तो जुड़ जाओ हमारे INVEST ग्रुप के साथ 🕯🕯

**https://wa.me/+916378809418/?text=*HELLO-MONEY-INVEST-SIR*
https://wa.me/+916378809418/?text=*HELLO-MONEY-INVEST-SIR*"
2024-11-19 04:13:13+00:00,"**300 To 350++++ 3rd Target Hit 🎯 🏆📈

Book Your 100% Profit 😍😍🙏❤️


BOOK PROFIT Trail stop loss in profit💐❤️**"
2024-11-19 04:12:57+00:00,**300₹ To 350₹ 🏆📈❤️**
2024-11-19 04:12:18+00:00,"**सुबह की शुरुवात हुई धमाकेदार ट्रेड के साथ 😎😎😎

एक्यूरेसी ही हमारी पहचान है, कम कॉल पर सटीक कॉल

ऐसे ही सटीक एंट्री और एग्जिट पाने के लिए अभी ज्वॉइन करे हमारा INVEST PLAN**

https://wa.me/+916378809418/?text=*HELLO-MONEY-INVEST-SIR*
https://wa.me/+916378809418/?text=*HELLO-MONEY-INVEST-SIR*"
2024-11-19 04:10:20+00:00,"**300 To 340++++ 2nd Target Hit 🎯 🏆📈

Book Your 70% Profit 😍😍🙏❤️


BOOK PROFIT Trail stop loss in profit💐❤️**"
2024-11-19 04:09:51+00:00,**300₹ To 340₹ 🏆📈❤️**
2024-11-19 04:09:10+00:00,"**300 To 330++++ 1st Target Hit 🎯 🏆📈

Book Your 50% Profit 😍😍🙏❤️


BOOK PROFIT Trail stop loss in profit💐❤️**"
2024-11-19 04:08:48+00:00,**300₹ To 330₹ 🏆📈❤️**
2024-11-19 04:08:44+00:00,**300₹ To 320₹ 🏆📈❤️**
2024-11-19 04:08:39+00:00,**300₹ To 310₹ 🏆📈❤️**
2024-11-19 04:08:32+00:00,**300₹ To 300₹ 🏆📈❤️**
2024-11-19 04:07:45+00:00,"**BANKNIFTY 27 NOV  51000 CE**__

🏛 BUY ABOVE :- __300__

📊 Current Price : __300__


**Target..330//340//350++**

☠️ **Stoploss : PAID**__"
2024-11-19 02:50:38+00:00,"𝗚𝗢𝗢𝗗 𝗠𝗢𝗥𝗡𝗜𝗡𝗚 𝗔𝗟𝗟 𝗧𝗥𝗔𝗗𝗘𝗥𝗦 ❤️

𝗛𝗔𝗩𝗘 𝗔 𝗚𝗢𝗢𝗗 𝗗𝗔𝗬 𝗧𝗢𝗗𝗔𝗬 😊♥️"
2024-11-18 14:12:24+00:00,"**TODAY FII&DII DATA:- 18-11-2024

FII SELL NET 👉 1403.40 Cr.🔻

DII BUY NET 👉 2330.56 Cr. ☘

NET BUYING :-  927.16 Cr. 🟢**"
2024-11-18 04:26:14+00:00,**400₹ To 490₹ 🏆📈❤️**
2024-11-18 04:26:09+00:00,**400₹ To 480₹ 🏆📈❤️**
2024-11-18 04:26:04+00:00,**400₹ To 470₹ 🏆📈❤️**
2024-11-18 04:25:59+00:00,**400₹ To 460₹ 🏆📈❤️**
2024-11-18 03:55:46+00:00,"**400 To 450++++ 3rd Target Hit 🎯 🏆📈

Book Your 100% Profit 😍😍🙏❤️


BOOK PROFIT Trail stop loss in profit💐❤️**"
2024-11-18 03:55:23+00:00,**400₹ To 450₹ 🏆📈❤️**
